id,code,name,postalCode,level,parentId,hasHomeDelivery,hasPickupPoint,Commune,,,,,,,,,
09f82491-7fda-489d-88e8-f5c07386ca8d,28,Zaouiet Kounta,28000,commune,6e978fc5-f20a-4b5f-9adf-61dd21a7672a,TRUE,TRUE,Sendjas,,,,,,,,,1
75ca308d-ab36-44e2-9702-2e2300a57b8c,28,MSila,28,wilaya,,TRUE,TRUE,Sidi Abderrahmane,,,,,,,,,1
a17a6482-3f48-4948-aaf2-8a653c4c1110,29,Mascara,29,wilaya,,TRUE,TRUE,Sidi Akkacha,,,,,,,,,1
3e3e67ed-63a8-42e4-8ab0-b9f4f5c4e046,29,Abou El Hassane,29000,commune,981f136a-996f-463e-a536-8e643daab193,TRUE,TRUE,Sobha,,,,,,,,,1
ada333a0-708d-476e-a97d-fd70fe661b09,30,Ouargla,30,wilaya,,TRUE,TRUE,Tadjena,,,,,,,,,1
11919c5f-d73d-459b-a01f-75818d49814f,30,Ain Merane,30000,commune,981f136a-996f-463e-a536-8e643daab193,TRUE,TRUE,Talassa,,,,,,,,,1
e772eb46-276a-4f41-bae7-3b67e1bdc616,31,Oran,31,wilaya,,TRUE,TRUE,Taougrit,,,,,,,,,1
6a3435f2-b577-4fed-acc5-524c598ebb80,31,Benairia,31000,commune,981f136a-996f-463e-a536-8e643daab193,TRUE,TRUE,Tenes,,,,,,,,,1
dca8b699-ce8b-4ad7-b8f2-560e63911383,32,El Bayadh,32,wilaya,,TRUE,TRUE,Zeboudja,,,,,,,,,1
6b142d38-22f9-4e4a-a0d3-be7491ccc63d,32,Beni  Bouattab,32000,commune,981f136a-996f-463e-a536-8e643daab193,TRUE,TRUE,Aflou,,,,,,,,,1
32660d04-6a57-4524-aff3-baf43ee6bc31,33,Beni Haoua,33000,commune,981f136a-996f-463e-a536-8e643daab193,TRUE,TRUE,Ain Madhi,,,,,,,,,1
80d1b557-03b2-4073-a8c2-89a8712a7fc8,34,Bordj Bou Arreridj,34,wilaya,,TRUE,TRUE,Ain Sidi Ali,,,,,,,,,1
3dc54b12-c898-4b61-8acc-bc3c6e5d7d26,34,Beni Rached,34000,commune,981f136a-996f-463e-a536-8e643daab193,TRUE,TRUE,El Beidha,,,,,,,,,2
f823492c-f79d-4c2d-befe-933bf9917a65,35,Boumerdes,35,wilaya,,TRUE,TRUE,Benacer Benchohra,,,,,,,,,2
622a68f1-473b-406f-9268-2456dd9b7671,35,Boukadir,35000,commune,981f136a-996f-463e-a536-8e643daab193,TRUE,TRUE,Brida,,,,,,,,,1
d4b26a15-0f6c-4cba-b0dd-bd434db51526,36,Bouzeghaia,36000,commune,981f136a-996f-463e-a536-8e643daab193,TRUE,TRUE,El Assafia,,,,,,,,,1
e6f4b09c-f63e-42af-92bc-dab9b422c34d,36,El Tarf,36,wilaya,,TRUE,TRUE,El Ghicha,,,,,,,,,1
359c4465-4608-4c04-b3a7-ca3193c2b3f2,37,Breira,37000,commune,981f136a-996f-463e-a536-8e643daab193,TRUE,TRUE,El Haouaita,,,,,,,,,1
fb1a9f7a-81a2-4825-af92-79f9d187637f,38,Tissemsilt,38,wilaya,,TRUE,TRUE,Gueltat Sidi Saad,,,,,,,,,1
dc44eb7c-2ace-4b63-b15a-34f493bde8d8,38,Chettia,38000,commune,981f136a-996f-463e-a536-8e643daab193,TRUE,TRUE,Hadj Mechri,,,,,,,,,1
cd82549a-b1f7-48c1-9a25-2f3f05b80b1d,39,El Oued,39,wilaya,,TRUE,TRUE,Hassi Delaa,,,,,,,,,1
fc22bf39-a1f5-44bf-ac5e-b25280768926,39,Chlef,39000,commune,981f136a-996f-463e-a536-8e643daab193,TRUE,TRUE,Hassi R'mel,,,,,,,,,1
d4549528-8327-4a3f-9732-5a5462c84b8d,40,Khenchela,40,wilaya,,TRUE,TRUE,Kheneg,,,,,,,,,1
